"콘텐츠명
(필수 입력)","주소[구]
(조건부 선택 입력)","상세 제목1
(선택 입력)","상세 내용1
(선택 입력)","상세 제목2
(선택 입력)","상세 내용2
(선택 입력)","상세 제목3
(선택 입력)","상세 내용3
(선택 입력)","상세 제목4
(선택 입력)","상세 내용4
(선택 입력)","상세 제목5
(선택 입력)","상세 내용5
(선택 입력)"
상일동 우체국,강동구,주출입구 접근로;;;;이용불편,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18~1/12이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,총주차대수 - 3,주출입구 높이차이 제거;;;;이용불편,"경사로 1/12초과 설치
유효폭 1.2m 미만
손잡이 설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 공용 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 미흡설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
잠실2동우체국,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",해당없음,해당없음,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,해당없음,해당없음
양천공원 화장실,양천구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,장애인용 화장실;;;;이용불편,"대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
대변기크기 1.4*1.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 미흡설치
회전식손잡이 설치"
신트리공원 화장실,양천구,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,장애인용 화장실;;;;이용가능,"대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
대변기크기 1.4*1.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
꿈돌이공원(화장실),강서구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",해당없음,해당없음,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,장애인용 화장실;;;;이용가능,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
공중화장실(대방역),영등포구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",해당없음,해당없음,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 미흡설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
송파나루공원 화장실,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",해당없음,해당없음,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,장애인용 화장실;;;;이용가능,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
답비뇨기과,강동구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 32
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상",장애인용 승강기;;;;이용불편,"가로조작반 설치
버튼점자 설치
점자블록 설치
음성안내 설치
점멸등 설치",장애인용 화장실;;;;이용불편,"남,녀 공용 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 미흡설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
까치산공원화장실-(새길상세주소누락),강서구,해당없음,해당없음,해당없음,해당없음,주출입구 높이차이 제거;;;;이용불편,"경사로 1/12초과 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,해당없음,해당없음
방이공원화장실,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",해당없음,해당없음,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
대변기크기 1.4*1.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 미흡설치"
동명근린공원 공중화장실,강동구,주출입구 접근로;;;;이용불편,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18~1/12이하
보/차도 구분",해당없음,해당없음,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 미흡설치"
성누가의원,서초구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,총주차대수 - 9,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상",장애인용 승강기;;;;이용가능,"가로조작반 설치
버튼점자 설치
점자블록 설치
음성안내 설치
점멸등 설치",해당없음,해당없음
신토오리,송파구,주출입구 접근로;;;;이용가능,해당없음,장애인 전용 주차구역;;;;이용가능,총주차대수 - 10,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음
미담,양천구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",해당없음,해당없음,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,해당없음,해당없음
오발탄,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,총주차대수 - 4,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,해당없음,해당없음
소마루,강동구,해당없음,해당없음,장애인 전용 주차구역;;;;이용가능,총주차대수 - 20,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음
거북이집,서대문구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,해당없음,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상",해당없음,해당없음,해당없음,해당없음
드림 씨티빌,강남구,주출입구 접근로;;;;이용가능,해당없음,장애인 전용 주차구역;;;;이용가능,총주차대수 - 8,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음
천하무적,송파구,주출입구 접근로;;;;이용불편,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,해당없음,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,해당없음,해당없음
"명가낙지마당(지하1,지상1층)",양천구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",해당없음,해당없음,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,해당없음,해당없음
롯데시네마 피카디리,종로구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 130
전용주차대수 - 20
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상",장애인용 승강기;;;;이용불편,"가로조작반 설치
버튼점자 설치
점자블록 설치
음성안내 설치
점멸등 미흡설치",장애인용 화장실;;;;이용가능,"대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
양대박,송파구,해당없음,해당없음,장애인 전용 주차구역;;;;이용가능,총주차대수 - 10,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음
강동아트센터,강동구,주출입구 접근로;;;;이용불편,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분없음",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 211
전용주차대수 - 5
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상",장애인용 승강기;;;;이용가능,"승강기크기 1.6*1.35m 이상
가로조작반 설치
버튼점자 설치
점자블록 설치
음성안내 설치
점멸등 설치",장애인용 화장실;;;;이용가능,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
대변기크기 1.4*1.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
동광교회,강동구,주출입구 접근로;;;;이용불편,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18~1/12이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 16
전용주차대수 - 2
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상",해당없음,해당없음,해당없음,해당없음
천주교거여동성당,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 23
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,해당없음,해당없음
대명교회,강동구,주출입구 접근로;;;;이용불편,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18~1/12이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 16
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용불편,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 미만",해당없음,해당없음,해당없음,해당없음
주사랑교회,강동구,주출입구 접근로;;;;이용불편,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18~1/12이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 15
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상",해당없음,해당없음,해당없음,해당없음
서북교회,은평구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 20
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",해당없음,해당없음,해당없음,해당없음,해당없음,해당없음
